,output_testInput,output_MR,MR_checker
15444,51,153,Not-violated
15445,-14,-42,Violated
15446,2,6,Not-violated
15447,0,0,Violated
15448,-79,-237,Violated
15449,37,111,Not-violated
15450,15,45,Violated
15451,11,33,Not-violated
15452,-42,-126,Violated
15453,-7,-21,Violated
15454,36,108,Not-violated
15455,-61,-183,Not-violated
15456,32,96,Not-violated
15457,-37,-111,Not-violated
15458,6,18,Violated
15459,8,24,Not-violated
15460,4,12,Violated
15461,-10,-30,Violated
15462,-14,-42,Violated
15463,30,90,Not-violated
15464,-69,-207,Violated
15465,7,21,Not-violated
15466,24,72,Not-violated
15467,2,6,Not-violated
15468,-56,-168,Violated
15469,32,96,Not-violated
15470,21,63,Not-violated
15471,-13,-39,Violated
15472,66,198,Not-violated
15473,-23,-69,Violated
15474,-39,-117,Violated
15475,14,42,Not-violated
15476,-65,-195,Violated
15477,16,48,Not-violated
15478,-15,-45,Violated
15479,23,69,Not-violated
15480,20,60,Not-violated
15481,-35,-105,Violated
15482,-32,-96,Violated
15483,51,153,Not-violated
15484,14,42,Violated
15485,28,84,Violated
15486,0,0,Violated
15487,-35,-105,Not-violated
15488,-37,-111,Violated
15489,-1,-3,Violated
15490,76,228,Not-violated
15491,-38,-114,Not-violated
15492,-30,-90,Violated
15493,-10,-30,Violated
15494,-23,-69,Violated
15495,-44,-132,Violated
15496,-1,-3,Violated
15497,-17,-51,Violated
15498,-13,-39,Violated
15499,39,117,Not-violated
15500,-63,-189,Violated
15501,40,120,Violated
15502,2,6,Violated
15503,-51,-153,Not-violated
15504,41,123,Not-violated
15505,17,51,Not-violated
15506,0,0,Not-violated
15507,-119,-357,Violated
15508,-38,-114,Not-violated
15509,-6,-18,Violated
15510,-58,-174,Not-violated
15511,19,57,Violated
15512,-36,-108,Violated
15513,-52,-156,Violated
15514,-32,-96,Violated
15515,-71,-213,Violated
15516,4,12,Violated
15517,9,27,Violated
15518,-38,-114,Violated
15519,23,69,Violated
15520,-45,-135,Violated
15521,-8,-24,Violated
15522,-55,-165,Violated
15523,-54,-162,Not-violated
15524,-36,-108,Violated
15525,27,81,Not-violated
15526,39,117,Not-violated
15527,9,27,Not-violated
15528,-69,-207,Violated
15529,17,51,Violated
15530,-7,-21,Violated
15531,-47,-141,Not-violated
15532,-20,-60,Violated
15533,9,27,Violated
15534,-26,-78,Violated
15535,58,174,Not-violated
15536,35,105,Not-violated
15537,22,66,Violated
15538,-36,-108,Violated
15539,22,66,Not-violated
15540,43,129,Not-violated
15541,30,90,Not-violated
15542,-41,-123,Not-violated
15543,9,27,Violated
15544,-38,-114,Violated
15545,-39,-117,Violated
15546,26,78,Violated
15547,48,144,Violated
15548,-10,-30,Not-violated
15549,38,114,Not-violated
15550,-18,-54,Violated
15551,5,15,Not-violated
15552,47,141,Not-violated
15553,38,114,Violated
15554,31,93,Not-violated
15555,-17,-51,Not-violated
15556,-43,-129,Violated
15557,-4,-12,Violated
15558,-8,-24,Not-violated
15559,-21,-63,Not-violated
15560,37,111,Not-violated
15561,-35,-105,Violated
15562,-13,-39,Not-violated
15563,2,6,Not-violated
15564,-32,-96,Violated
15565,0,0,Violated
15566,42,126,Not-violated
15567,36,108,Not-violated
15568,4,12,Not-violated
15569,-110,-330,Not-violated
15570,23,69,Violated
15571,6,18,Violated
15572,53,159,Not-violated
15573,-31,-93,Violated
15574,25,75,Not-violated
15575,-31,-93,Not-violated
15576,7,21,Violated
15577,-1,-3,Not-violated
15578,1,3,Violated
15579,27,81,Not-violated
15580,62,186,Violated
15581,1,3,Not-violated
15582,-72,-216,Not-violated
15583,31,93,Violated
15584,-14,-42,Violated
15585,-4,-12,Not-violated
15586,-6,-18,Violated
15587,-44,-132,Not-violated
15588,14,42,Not-violated
15589,-33,-99,Violated
15590,-88,-264,Violated
15591,2,6,Violated
15592,20,60,Violated
15593,15,45,Violated
15594,-47,-141,Violated
15595,0,0,Violated
15596,25,75,Not-violated
15597,-2,-6,Not-violated
15598,5,15,Not-violated
15599,28,84,Not-violated
15600,12,36,Not-violated
15601,-17,-51,Violated
15602,7,21,Not-violated
15603,12,36,Violated
15604,6,18,Not-violated
15605,24,72,Not-violated
15606,9,27,Not-violated
15607,-19,-57,Not-violated
15608,-5,-15,Not-violated
15609,-8,-24,Violated
15610,-17,-51,Not-violated
15611,-54,-162,Violated
15612,75,225,Not-violated
15613,2,6,Not-violated
15614,-46,-138,Violated
15615,-21,-63,Violated
15616,5,15,Not-violated
15617,-7,-21,Not-violated
15618,0,0,Not-violated
15619,13,39,Violated
15620,15,45,Not-violated
15621,-48,-144,Violated
15622,-18,-54,Violated
15623,-26,-78,Violated
15624,-53,-159,Violated
15625,-47,-141,Not-violated
15626,-19,-57,Not-violated
15627,-38,-114,Not-violated
15628,-24,-72,Not-violated
15629,13,39,Not-violated
15630,-45,-135,Violated
15631,-4,-12,Not-violated
15632,-14,-42,Not-violated
15633,-22,-66,Not-violated
15634,-9,-27,Not-violated
15635,6,18,Not-violated
15636,-6,-18,Not-violated
15637,-38,-114,Violated
15638,-1,-3,Violated
15639,-57,-171,Violated
15640,-14,-42,Not-violated
15641,13,39,Not-violated
15642,-35,-105,Violated
15643,6,18,Not-violated
15644,28,84,Violated
15645,-25,-75,Violated
15646,-9,-27,Violated
15647,-14,-42,Not-violated
15648,-8,-24,Not-violated
15649,-2,-6,Violated
15650,-41,-123,Violated
15651,-10,-30,Not-violated
15652,-52,-156,Violated
15653,-12,-36,Violated
15654,-12,-36,Violated
15655,12,36,Not-violated
15656,-19,-57,Violated
15657,35,105,Not-violated
15658,12,36,Not-violated
15659,-24,-72,Violated
15660,0,0,Violated
15661,3,9,Violated
15662,22,66,Not-violated
15663,-1,-3,Not-violated
15664,-44,-132,Violated
15665,-12,-36,Not-violated
15666,-14,-42,Violated
15667,17,51,Not-violated
15668,-8,-24,Violated
15669,-37,-111,Not-violated
15670,0,0,Not-violated
15671,-11,-33,Not-violated
15672,-65,-195,Violated
15673,-17,-51,Not-violated
15674,41,123,Violated
15675,-43,-129,Violated
15676,-38,-114,Violated
15677,-4,-12,Not-violated
15678,-18,-54,Violated
15679,-41,-123,Violated
15680,31,93,Violated
15681,37,111,Not-violated
15682,-84,-252,Not-violated
15683,-22,-66,Violated
15684,17,51,Not-violated
15685,-12,-36,Not-violated
15686,33,99,Not-violated
15687,-27,-81,Not-violated
15688,-14,-42,Violated
15689,-72,-216,Not-violated
15690,36,108,Violated
15691,-16,-48,Not-violated
15692,22,66,Violated
15693,77,231,Not-violated
15694,34,102,Not-violated
15695,9,27,Violated
15696,-26,-78,Not-violated
15697,-44,-132,Violated
15698,-76,-228,Violated
15699,-13,-39,Violated
15700,-25,-75,Violated
15701,-81,-243,Not-violated
15702,-58,-174,Violated
15703,21,63,Violated
15704,-22,-66,Violated
15705,-15,-45,Not-violated
15706,-24,-72,Violated
15707,37,111,Not-violated
15708,-27,-81,Violated
15709,14,42,Not-violated
15710,-55,-165,Violated
15711,17,51,Not-violated
15712,5,15,Not-violated
15713,-22,-66,Violated
15714,-42,-126,Violated
15715,-44,-132,Violated
15716,39,117,Violated
15717,31,93,Not-violated
15718,36,108,Not-violated
15719,17,51,Violated
15720,-13,-39,Not-violated
15721,-35,-105,Violated
15722,17,51,Not-violated
15723,5,15,Not-violated
15724,3,9,Violated
15725,-15,-45,Not-violated
15726,0,0,Not-violated
15727,-11,-33,Not-violated
15728,87,261,Not-violated
15729,-34,-102,Not-violated
15730,20,60,Not-violated
15731,-13,-39,Not-violated
15732,15,45,Violated
15733,12,36,Not-violated
15734,-19,-57,Not-violated
15735,-13,-39,Violated
15736,7,21,Not-violated
15737,15,45,Not-violated
15738,-28,-84,Violated
15739,10,30,Violated
15740,9,27,Not-violated
15741,52,156,Not-violated
15742,-37,-111,Violated
15743,62,186,Not-violated
15744,-59,-177,Not-violated
15745,-31,-93,Not-violated
15746,-79,-237,Violated
15747,-21,-63,Violated
15748,1,3,Violated
15749,-2,-6,Violated
15750,-11,-33,Violated
15751,-10,-30,Not-violated
15752,6,18,Not-violated
15753,-55,-165,Not-violated
15754,-92,-276,Violated
15755,7,21,Not-violated
15756,-9,-27,Not-violated
15757,-7,-21,Violated
15758,22,66,Not-violated
15759,-24,-72,Violated
15760,-11,-33,Violated
15761,-12,-36,Violated
15762,-11,-33,Not-violated
15763,-32,-96,Violated
15764,19,57,Not-violated
15765,8,24,Violated
15766,40,120,Not-violated
15767,-9,-27,Not-violated
15768,5,15,Not-violated
15769,-28,-84,Violated
15770,-29,-87,Not-violated
15771,-43,-129,Violated
15772,-46,-138,Not-violated
15773,46,138,Not-violated
15774,22,66,Not-violated
15775,20,60,Not-violated
15776,-51,-153,Violated
15777,8,24,Not-violated
15778,14,42,Not-violated
15779,48,144,Not-violated
15780,33,99,Violated
15781,20,60,Not-violated
15782,-28,-84,Not-violated
15783,-38,-114,Not-violated
15784,2,6,Violated
15785,43,129,Not-violated
15786,25,75,Not-violated
15787,-58,-174,Violated
15788,-11,-33,Violated
15789,4,12,Not-violated
15790,-30,-90,Violated
15791,-18,-54,Violated
15792,-4,-12,Not-violated
15793,-11,-33,Violated
15794,-7,-21,Not-violated
15795,-44,-132,Not-violated
15796,-32,-96,Not-violated
15797,18,54,Violated
15798,49,147,Not-violated
15799,-5,-15,Not-violated
15800,30,90,Violated
15801,0,0,Violated
15802,-38,-114,Violated
15803,18,54,Not-violated
15804,1,3,Not-violated
15805,-26,-78,Violated
15806,39,117,Not-violated
15807,6,18,Violated
15808,-47,-141,Not-violated
15809,8,24,Not-violated
15810,35,105,Violated
15811,8,24,Not-violated
15812,8,24,Violated
15813,7,21,Violated
15814,22,66,Violated
15815,-12,-36,Not-violated
15816,-72,-216,Violated
15817,51,153,Not-violated
15818,-10,-30,Violated
15819,-15,-45,Not-violated
15820,31,93,Not-violated
15821,20,60,Violated
15822,-15,-45,Violated
15823,-38,-114,Violated
15824,25,75,Not-violated
15825,-21,-63,Violated
15826,1,3,Not-violated
15827,-32,-96,Violated
15828,21,63,Not-violated
15829,-35,-105,Violated
15830,-40,-120,Violated
15831,-39,-117,Violated
15832,-20,-60,Violated
15833,-28,-84,Violated
15834,21,63,Violated
15835,16,48,Violated
15836,-16,-48,Violated
15837,-11,-33,Violated
15838,7,21,Violated
15839,-66,-198,Violated
15840,17,51,Violated
15841,-48,-144,Violated
15842,-6,-18,Not-violated
15843,13,39,Not-violated
15844,-12,-36,Violated
15845,-26,-78,Violated
15846,-14,-42,Not-violated
15847,-95,-285,Not-violated
15848,9,27,Not-violated
15849,45,135,Not-violated
15850,-22,-66,Violated
15851,20,60,Not-violated
15852,-3,-9,Not-violated
15853,-8,-24,Not-violated
15854,-14,-42,Violated
15855,-30,-90,Violated
15856,-32,-96,Violated
15857,15,45,Not-violated
15858,32,96,Not-violated
15859,17,51,Violated
15860,21,63,Not-violated
15861,-63,-189,Violated
15862,10,30,Not-violated
15863,-21,-63,Violated
15864,-66,-198,Violated
15865,-17,-51,Violated
15866,-28,-84,Violated
15867,37,111,Violated
15868,8,24,Not-violated
15869,1,3,Violated
15870,-79,-237,Not-violated
15871,5,15,Violated
15872,7,21,Violated
15873,-15,-45,Not-violated
15874,-50,-150,Violated
15875,-48,-144,Violated
15876,-10,-30,Not-violated
15877,24,72,Not-violated
15878,2,6,Violated
15879,37,111,Violated
15880,-12,-36,Not-violated
15881,1,3,Not-violated
15882,22,66,Violated
15883,60,180,Not-violated
15884,-17,-51,Violated
15885,-45,-135,Not-violated
15886,-5,-15,Violated
15887,-14,-42,Violated
15888,-7,-21,Not-violated
15889,-34,-102,Not-violated
15890,39,117,Violated
15891,-8,-24,Violated
15892,10,30,Not-violated
15893,-35,-105,Violated
15894,-59,-177,Not-violated
15895,-4,-12,Violated
15896,-20,-60,Not-violated
15897,-12,-36,Violated
15898,27,81,Violated
15899,-14,-42,Violated
15900,3,9,Violated
15901,-20,-60,Violated
15902,2,6,Violated
15903,-11,-33,Violated
15904,47,141,Not-violated
15905,-62,-186,Violated
15906,27,81,Not-violated
15907,-84,-252,Violated
15908,61,183,Violated
15909,-19,-57,Violated
15910,13,39,Not-violated
15911,-14,-42,Violated
15912,27,81,Not-violated
15913,-29,-87,Violated
15914,13,39,Violated
15915,8,24,Not-violated
15916,-34,-102,Violated
15917,39,117,Not-violated
15918,0,0,Not-violated
15919,46,138,Not-violated
15920,-1,-3,Not-violated
15921,2,6,Violated
15922,9,27,Not-violated
15923,-15,-45,Violated
15924,-9,-27,Violated
15925,17,51,Not-violated
15926,7,21,Not-violated
15927,-10,-30,Violated
15928,-25,-75,Violated
15929,-18,-54,Violated
15930,57,171,Violated
15931,-32,-96,Violated
15932,-31,-93,Not-violated
15933,22,66,Violated
15934,-43,-129,Violated
15935,-19,-57,Violated
15936,28,84,Violated
15937,-7,-21,Not-violated
15938,-4,-12,Not-violated
15939,-56,-168,Violated
15940,-51,-153,Not-violated
15941,0,0,Violated
15942,-18,-54,Violated
15943,-10,-30,Not-violated
15944,-35,-105,Not-violated
15945,12,36,Not-violated
15946,40,120,Not-violated
15947,-113,-339,Violated
15948,17,51,Violated
15949,39,117,Not-violated
15950,15,45,Not-violated
15951,-2,-6,Violated
15952,-13,-39,Not-violated
15953,-1,-3,Violated
15954,82,246,Not-violated
15955,15,45,Not-violated
15956,-48,-144,Violated
15957,-26,-78,Violated
15958,6,18,Not-violated
15959,-19,-57,Not-violated
15960,-43,-129,Violated
15961,-41,-123,Not-violated
15962,-52,-156,Not-violated
15963,5,15,Not-violated
15964,-36,-108,Not-violated
15965,8,24,Not-violated
15966,-42,-126,Not-violated
15967,-33,-99,Not-violated
15968,-57,-171,Violated
15969,-31,-93,Violated
15970,-59,-177,Violated
15971,5,15,Not-violated
15972,51,153,Not-violated
15973,-22,-66,Violated
15974,-17,-51,Not-violated
15975,-4,-12,Not-violated
15976,45,135,Violated
15977,44,132,Not-violated
15978,-44,-132,Not-violated
15979,21,63,Not-violated
15980,-44,-132,Violated
15981,4,12,Violated
15982,-13,-39,Violated
15983,3,9,Violated
15984,7,21,Not-violated
15985,50,150,Violated
15986,-47,-141,Not-violated
15987,1,3,Violated
15988,14,42,Violated
15989,-83,-249,Not-violated
15990,60,180,Not-violated
15991,6,18,Violated
15992,-39,-117,Not-violated
15993,1,3,Not-violated
15994,-7,-21,Violated
15995,-28,-84,Violated
15996,-26,-78,Not-violated
15997,-1,-3,Violated
15998,30,90,Violated
15999,-15,-45,Violated
16000,58,174,Not-violated
16001,-34,-102,Violated
16002,-35,-105,Not-violated
16003,-80,-240,Violated
16004,10,30,Violated
16005,1,3,Not-violated
16006,-27,-81,Not-violated
16007,-19,-57,Violated
16008,-20,-60,Violated
16009,-5,-15,Not-violated
16010,74,222,Not-violated
16011,-28,-84,Violated
16012,60,180,Not-violated
16013,-45,-135,Violated
16014,14,42,Violated
16015,18,54,Not-violated
16016,29,87,Not-violated
16017,21,63,Violated
16018,-18,-54,Not-violated
16019,-28,-84,Not-violated
16020,19,57,Not-violated
16021,37,111,Violated
16022,-19,-57,Violated
16023,14,42,Violated
16024,-43,-129,Violated
16025,-59,-177,Violated
16026,28,84,Violated
16027,30,90,Not-violated
16028,29,87,Not-violated
16029,0,0,Violated
16030,-10,-30,Violated
16031,-20,-60,Violated
16032,-14,-42,Not-violated
16033,-18,-54,Violated
16034,22,66,Not-violated
16035,-22,-66,Violated
16036,55,165,Not-violated
16037,10,30,Violated
16038,3,9,Not-violated
16039,31,93,Violated
16040,-52,-156,Not-violated
16041,-27,-81,Violated
16042,-31,-93,Not-violated
16043,-38,-114,Not-violated
16044,-31,-93,Not-violated
16045,54,162,Violated
16046,-46,-138,Violated
16047,-49,-147,Not-violated
16048,-2,-6,Not-violated
16049,14,42,Violated
16050,-64,-192,Violated
16051,52,156,Not-violated
16052,31,93,Not-violated
16053,11,33,Violated
16054,19,57,Not-violated
16055,6,18,Not-violated
16056,-19,-57,Not-violated
16057,24,72,Not-violated
16058,8,24,Not-violated
16059,28,84,Violated
16060,35,105,Violated
16061,-8,-24,Violated
16062,-17,-51,Not-violated
16063,23,69,Not-violated
16064,-63,-189,Violated
16065,-17,-51,Violated
16066,23,69,Not-violated
16067,-21,-63,Not-violated
16068,-55,-165,Violated
16069,17,51,Violated
16070,-28,-84,Violated
16071,0,0,Violated
16072,-13,-39,Not-violated
16073,30,90,Violated
16074,4,12,Not-violated
16075,8,24,Not-violated
16076,-30,-90,Violated
16077,-17,-51,Not-violated
16078,6,18,Not-violated
16079,-30,-90,Violated
16080,21,63,Not-violated
16081,-54,-162,Violated
16082,-7,-21,Violated
16083,-29,-87,Violated
16084,7,21,Violated
16085,92,276,Not-violated
16086,53,159,Not-violated
16087,8,24,Not-violated
16088,3,9,Not-violated
16089,-36,-108,Violated
16090,-37,-111,Not-violated
16091,-29,-87,Violated
16092,-7,-21,Violated
16093,-85,-255,Violated
16094,14,42,Violated
16095,-41,-123,Violated
16096,-86,-258,Violated
16097,-32,-96,Not-violated
16098,-17,-51,Violated
16099,90,270,Violated
16100,-4,-12,Violated
16101,1,3,Violated
16102,35,105,Not-violated
16103,-22,-66,Violated
16104,-73,-219,Violated
16105,8,24,Violated
16106,-11,-33,Violated
16107,-18,-54,Not-violated
16108,14,42,Not-violated
16109,0,0,Violated
16110,-40,-120,Violated
16111,12,36,Violated
16112,24,72,Not-violated
16113,74,222,Not-violated
16114,3,9,Not-violated
16115,11,33,Not-violated
16116,-40,-120,Violated
16117,-71,-213,Violated
16118,38,114,Not-violated
16119,-82,-246,Not-violated
16120,51,153,Violated
16121,4,12,Violated
16122,47,141,Not-violated
16123,-11,-33,Not-violated
16124,-14,-42,Violated
16125,-4,-12,Violated
16126,38,114,Violated
16127,44,132,Not-violated
16128,-15,-45,Not-violated
16129,28,84,Not-violated
16130,-19,-57,Violated
16131,-24,-72,Not-violated
16132,-5,-15,Violated
16133,93,279,Violated
16134,9,27,Not-violated
16135,34,102,Not-violated
16136,-4,-12,Violated
16137,16,48,Violated
16138,-22,-66,Not-violated
16139,11,33,Not-violated
16140,45,135,Violated
16141,-48,-144,Violated
16142,-19,-57,Violated
16143,-5,-15,Not-violated
16144,-16,-48,Not-violated
16145,-28,-84,Not-violated
16146,33,99,Not-violated
16147,32,96,Violated
16148,-11,-33,Not-violated
16149,-3,-9,Not-violated
16150,23,69,Not-violated
16151,-1,-3,Not-violated
16152,-10,-30,Violated
16153,41,123,Not-violated
16154,-6,-18,Violated
16155,8,24,Violated
16156,50,150,Not-violated
16157,17,51,Not-violated
16158,-21,-63,Not-violated
16159,-12,-36,Violated
16160,45,135,Not-violated
16161,-23,-69,Violated
16162,-5,-15,Not-violated
16163,-12,-36,Violated
16164,-14,-42,Not-violated
16165,-42,-126,Not-violated
16166,-9,-27,Not-violated
16167,37,111,Not-violated
16168,-44,-132,Violated
16169,-12,-36,Violated
16170,6,18,Not-violated
16171,15,45,Not-violated
16172,-44,-132,Violated
16173,-23,-69,Violated
16174,37,111,Violated
16175,-86,-258,Violated
16176,-9,-27,Not-violated
16177,-11,-33,Violated
16178,22,66,Not-violated
16179,17,51,Not-violated
16180,-22,-66,Not-violated
16181,31,93,Not-violated
16182,36,108,Violated
16183,20,60,Not-violated
16184,-34,-102,Violated
16185,-21,-63,Violated
16186,41,123,Not-violated
16187,-35,-105,Violated
16188,-43,-129,Violated
16189,-23,-69,Violated
16190,10,30,Violated
16191,-1,-3,Violated
16192,-10,-30,Not-violated
16193,37,111,Not-violated
16194,6,18,Not-violated
16195,-33,-99,Violated
16196,-11,-33,Violated
16197,-50,-150,Violated
16198,33,99,Not-violated
16199,12,36,Violated
16200,21,63,Not-violated
16201,-88,-264,Violated
16202,-11,-33,Violated
16203,-19,-57,Violated
16204,6,18,Not-violated
16205,31,93,Not-violated
16206,7,21,Not-violated
16207,-16,-48,Not-violated
16208,6,18,Not-violated
16209,-31,-93,Not-violated
16210,-42,-126,Violated
16211,2,6,Violated
16212,-4,-12,Violated
16213,-37,-111,Violated
16214,-5,-15,Violated
16215,-32,-96,Violated
16216,-7,-21,Not-violated
16217,-9,-27,Not-violated
16218,-9,-27,Violated
16219,-3,-9,Not-violated
16220,-98,-294,Violated
16221,-36,-108,Violated
16222,32,96,Violated
16223,42,126,Not-violated
16224,48,144,Violated
16225,-27,-81,Violated
16226,33,99,Violated
16227,-18,-54,Violated
16228,-35,-105,Violated
16229,-43,-129,Violated
16230,-3,-9,Violated
16231,9,27,Violated
16232,-3,-9,Not-violated
16233,-20,-60,Violated
16234,-22,-66,Violated
16235,72,216,Not-violated
16236,38,114,Violated
16237,-42,-126,Violated
16238,23,69,Not-violated
16239,-23,-69,Not-violated
16240,-27,-81,Violated
16241,55,165,Not-violated
16242,50,150,Not-violated
16243,98,294,Violated
16244,-31,-93,Violated
16245,-50,-150,Not-violated
16246,53,159,Not-violated
16247,-29,-87,Violated
16248,-20,-60,Not-violated
16249,-61,-183,Violated
16250,-26,-78,Not-violated
16251,-9,-27,Not-violated
16252,-37,-111,Violated
16253,20,60,Not-violated
16254,-37,-111,Violated
16255,-21,-63,Not-violated
16256,-8,-24,Violated
16257,39,117,Not-violated
16258,37,111,Not-violated
16259,13,39,Not-violated
16260,6,18,Violated
16261,2,6,Violated
16262,42,126,Not-violated
16263,-28,-84,Violated
16264,-68,-204,Not-violated
16265,-30,-90,Violated
16266,23,69,Not-violated
16267,6,18,Not-violated
16268,-6,-18,Violated
16269,2,6,Not-violated
16270,39,117,Not-violated
16271,-2,-6,Not-violated
16272,-39,-117,Violated
16273,-13,-39,Violated
16274,-59,-177,Not-violated
16275,-15,-45,Violated
16276,-1,-3,Violated
16277,-33,-99,Not-violated
16278,17,51,Violated
16279,6,18,Violated
16280,-52,-156,Not-violated
16281,23,69,Violated
16282,31,93,Violated
16283,27,81,Not-violated
16284,29,87,Not-violated
16285,-8,-24,Not-violated
16286,-22,-66,Violated
16287,31,93,Not-violated
16288,-58,-174,Violated
16289,-46,-138,Violated
16290,-42,-126,Violated
16291,24,72,Not-violated
16292,-56,-168,Violated
16293,-25,-75,Not-violated
16294,-10,-30,Not-violated
16295,5,15,Not-violated
16296,39,117,Violated
16297,-43,-129,Violated
16298,24,72,Not-violated
16299,-17,-51,Violated
16300,-23,-69,Violated
16301,-40,-120,Violated
16302,25,75,Violated
16303,-50,-150,Violated
16304,-17,-51,Not-violated
16305,-80,-240,Violated
16306,35,105,Not-violated
16307,-37,-111,Violated
16308,26,78,Not-violated
16309,54,162,Not-violated
16310,44,132,Not-violated
16311,2,6,Violated
16312,20,60,Not-violated
16313,-34,-102,Violated
16314,8,24,Not-violated
16315,-62,-186,Not-violated
16316,19,57,Not-violated
16317,-23,-69,Violated
16318,-61,-183,Violated
16319,-27,-81,Violated
16320,17,51,Not-violated
16321,-36,-108,Violated
16322,2,6,Violated
16323,-39,-117,Violated
16324,-43,-129,Violated
16325,7,21,Violated
16326,24,72,Violated
16327,14,42,Not-violated
16328,-72,-216,Violated
16329,36,108,Not-violated
16330,42,126,Not-violated
16331,14,42,Violated
16332,-46,-138,Violated
16333,16,48,Violated
16334,-63,-189,Violated
16335,7,21,Violated
16336,-36,-108,Not-violated
16337,-71,-213,Not-violated
16338,-6,-18,Violated
16339,40,120,Not-violated
16340,42,126,Not-violated
16341,1,3,Not-violated
16342,-33,-99,Not-violated
16343,5,15,Violated
16344,9,27,Violated
16345,32,96,Not-violated
16346,-20,-60,Not-violated
16347,17,51,Violated
16348,-3,-9,Not-violated
16349,-7,-21,Not-violated
16350,-23,-69,Violated
16351,53,159,Violated
16352,-10,-30,Not-violated
16353,-72,-216,Violated
16354,-14,-42,Not-violated
16355,-28,-84,Violated
16356,-11,-33,Violated
16357,-22,-66,Violated
16358,-28,-84,Violated
16359,-21,-63,Violated
16360,-45,-135,Violated
16361,-25,-75,Violated
16362,24,72,Not-violated
16363,35,105,Violated
16364,-35,-105,Violated
16365,57,171,Violated
16366,-2,-6,Violated
16367,3,9,Violated
16368,-26,-78,Violated
16369,-13,-39,Not-violated
16370,3,9,Violated
16371,-2,-6,Not-violated
16372,-69,-207,Not-violated
16373,-13,-39,Violated
16374,0,0,Violated
16375,56,168,Not-violated
16376,-33,-99,Violated
16377,5,15,Not-violated
16378,-39,-117,Violated
16379,-29,-87,Not-violated
16380,56,168,Not-violated
16381,-19,-57,Not-violated
16382,-37,-111,Violated
16383,35,105,Not-violated
16384,-34,-102,Not-violated
16385,-17,-51,Violated
16386,-50,-150,Not-violated
16387,-10,-30,Violated
16388,8,24,Violated
16389,0,0,Violated
16390,63,189,Not-violated
16391,-59,-177,Not-violated
16392,-29,-87,Violated
16393,37,111,Not-violated
16394,-28,-84,Violated
16395,60,180,Not-violated
16396,-42,-126,Not-violated
16397,-16,-48,Not-violated
16398,20,60,Violated
16399,-22,-66,Violated
16400,11,33,Not-violated
16401,15,45,Not-violated
16402,24,72,Not-violated
16403,29,87,Not-violated
16404,-25,-75,Not-violated
16405,-22,-66,Violated
16406,-3,-9,Violated
16407,-15,-45,Violated
16408,-60,-180,Violated
16409,-21,-63,Not-violated
16410,29,87,Violated
16411,-29,-87,Violated
16412,-21,-63,Violated
16413,63,189,Violated
16414,45,135,Not-violated
16415,-46,-138,Violated
16416,7,21,Violated
16417,-16,-48,Not-violated
16418,33,99,Not-violated
16419,44,132,Not-violated
16420,-64,-192,Violated
16421,-64,-192,Violated
16422,9,27,Not-violated
16423,-12,-36,Not-violated
16424,-17,-51,Not-violated
16425,13,39,Not-violated
16426,-8,-24,Not-violated
16427,-28,-84,Not-violated
16428,33,99,Not-violated
16429,-61,-183,Violated
16430,-23,-69,Not-violated
16431,6,18,Not-violated
16432,-33,-99,Not-violated
16433,-14,-42,Violated
16434,10,30,Violated
16435,21,63,Not-violated
16436,-36,-108,Violated
16437,-17,-51,Not-violated
16438,22,66,Violated
16439,-26,-78,Violated
16440,9,27,Not-violated
16441,-13,-39,Violated
16442,-14,-42,Violated
16443,8,24,Not-violated
16444,-29,-87,Not-violated
16445,-52,-156,Not-violated
16446,14,42,Not-violated
16447,15,45,Not-violated
16448,-32,-96,Violated
16449,-17,-51,Violated
16450,-21,-63,Violated
16451,0,0,Violated
16452,24,72,Not-violated
16453,-72,-216,Violated
16454,31,93,Not-violated
16455,14,42,Not-violated
16456,-26,-78,Not-violated
16457,28,84,Not-violated
16458,33,99,Violated
16459,64,192,Not-violated
16460,-102,-306,Violated
16461,-2,-6,Violated
16462,41,123,Not-violated
16463,26,78,Not-violated
16464,44,132,Not-violated
16465,-18,-54,Not-violated
16466,-16,-48,Violated
16467,-55,-165,Violated
16468,-36,-108,Not-violated
16469,-44,-132,Violated
16470,-68,-204,Not-violated
16471,-37,-111,Not-violated
16472,2,6,Violated
16473,-10,-30,Not-violated
16474,-59,-177,Violated
16475,-50,-150,Not-violated
16476,-5,-15,Violated
16477,6,18,Violated
16478,2,6,Violated
16479,57,171,Not-violated
16480,11,33,Not-violated
16481,-10,-30,Violated
16482,27,81,Not-violated
16483,-41,-123,Violated
16484,-9,-27,Not-violated
16485,52,156,Not-violated
16486,18,54,Not-violated
16487,50,150,Not-violated
16488,-65,-195,Violated
16489,40,120,Not-violated
16490,2,6,Violated
16491,26,78,Not-violated
16492,-61,-183,Violated
16493,17,51,Violated
16494,-7,-21,Not-violated
16495,-81,-243,Violated
16496,5,15,Violated
16497,-45,-135,Violated
16498,-19,-57,Violated
16499,-4,-12,Violated
16500,-8,-24,Not-violated
16501,-11,-33,Not-violated
16502,26,78,Violated
16503,19,57,Not-violated
16504,-47,-141,Not-violated
16505,-63,-189,Violated
16506,-14,-42,Not-violated
16507,-41,-123,Violated
16508,52,156,Not-violated
16509,26,78,Not-violated
16510,-14,-42,Violated
16511,17,51,Not-violated
16512,7,21,Violated
